nom_commune,codes_postaux,code_insee,latitude,longitude
Asnières-sur-Saône,1570,1023,46.383333,4.883333
Bâgé-la-Ville,1380,1025,46.316667,4.95
Bâgé-le-Châtel,1380,1026,46.3,4.933333
Baneins,1990,1028,46.116667,4.9
Bey,1290,1042,46.216667,4.85
Beynost,1700,1043,45.833333,5
Birieux,1330,1045,45.95,5.033333
Biziat,1290,1046,46.216667,4.933333
Boissey,1190,1050,46.383333,5
Bouligneux,1330,1052,46.016667,5
Boz,1190,1057,46.4,4.9
Chalamont,1320,1074,46,5.166667
Chaleins,1480,1075,46.033333,4.8
Chaneins,1990,1083,46.1,4.85
Chanoz-Châtenay,1400,1084,46.183333,5.033333
Châtenay,1320,1090,46.033333,5.2
Châtillon-la-Palud,1320,1092,45.966667,5.25
Châtillon-sur-Chalaronne,1400,1093,46.116667,4.966667
Chavannes-sur-Reyssouze,1190,1094,46.433333,5
Chaveyriat,1660,1096,46.183333,5.066667
Chevroux,1190,1102,46.383333,4.95
Civrieux,1390,1105,45.916667,4.883333
Condeissiat,1400,1113,46.166667,5.083333
Cormoranche-sur-Saône,1290,1123,46.233333,4.833333
Crans,1320,1129,45.966667,5.216667
Crottet,1620,1134,46.283333,4.9
Cruzilles-lès-Mépillat,1290,1136,46.216667,4.883333
Dommartin,1380,1144,46.341667,4.991667
Dompierre-sur-Chalaronne,1400,1146,46.133333,4.9
Fareins,1480,1157,46.016667,4.766667
Feillens,1570,1159,46.333333,4.883333
Francheleins,1090,1165,46.066667,4.8
Frans,1480,1166,45.983333,4.783333
Garnerans,1140,1167,46.2,4.833333
Genouilleux,1090,1169,46.116667,4.783333
Gorrevod,1190,1175,46.416667,4.95
Grièges,1290,1179,46.25,4.85
Guéreins,1090,1183,46.1,4.783333
Illiat,1140,1188,46.183333,4.883333
Jassans-Riottier,1480,1194,45.983333,4.75
L'Abergement-Clémenciat,1400,1001,46.15,4.916667
La Chapelle-du-Châtelard,1240,1085,46.066667,5.033333
Laiz,1290,1203,46.25,4.883333
Lapeyrouse,1330,1207,45.983333,4.966667
Le Plantay,1330,1299,46.016667,5.083333
Lurcy,1090,1225,46.066667,4.766667
Manziat,1570,1231,46.35,4.9
Marlieux,1240,1235,46.066667,5.066667
Massieux,1600,1238,45.916667,4.833333
Mézériat,1660,1246,46.233333,5.033333
Mionnay,1390,1248,45.9,4.933333
Misérieux,1600,1250,45.983333,4.816667
Mogneneins,1140,1252,46.133333,4.816667
Montceaux,1090,1258,46.1,4.8
Monthieux,1390,1261,45.95,4.933333
Montmerle-sur-Saône,1090,1263,46.083333,4.766667
Neuville-les-Dames,1400,1272,46.166667,5
